pkg	channel	state	lost_after	newest	newest_uploaded	api_latest	api_disagrees	time_vs_sort_differ	n_versions
blast	bioconda	REGRESSED	2.16.0	2.17.0	2026-08-22	2.17.0	False	False	15
galah	bioconda	REGRESSED	0.4.2	0.5.2	2026-07-07	0.5.2	False	False	10
gatk4-spark	bioconda	REGRESSED	4.6.2.0	4.7.0.0	2026-08-18	4.7.0.0	False	False	25
metamdbg	bioconda	REGRESSED	1.2	1.4	2026-05-05	1.4	False	False	7
myloasm	bioconda	REGRESSED	0.5.1	0.7.0	2026-09-09	0.7.0	False	False	8
phispy	bioconda	REGRESSED	5.0.10	5.0.9	2026-05-03	5.0.10	True	True	18
mulled-v2-2e442ba7b07bfa102b9cf8fac6221263cd746ab8	?	not-found					False	False	0
mulled-v2-375a758a4ca8c128fb9d38047a68a9f4322d2acd	?	not-found					False	False	0
mulled-v2-780d630a9bb6a0ff2e7b6f730906fd703e40e98f	?	not-found					False	False	0
abacas	bioconda	ok		1.3.1	2024-04-03	1.3.1	False	False	1
abra2	bioconda	ok		2.24	2024-03-04	2.24	False	False	4
abricate	bioconda	ok		1.4.0	2026-04-03	1.4.0	False	False	17
abritamr	bioconda	ok		1.3.0	2026-05-25	1.3.0	False	False	22
abyss	bioconda	ok		2.3.10	2026-03-16	2.3.10	False	False	25
adapterremoval	bioconda	ok		3.0.2	2026-08-23	3.0.2	False	False	8
adapterremovalfixprefix	bioconda	ok		0.0.5	2021-03-26	0.0.5	False	False	2
agat	bioconda	ok		1.7.0	2026-04-10	1.7.0	False	False	33
alevin-fry	bioconda	ok		0.18.3	2026-09-14	0.18.3	False	False	32
alignoth	bioconda	ok		1.11.0	2026-09-14	1.11.0	False	False	62
ampcombi	bioconda	ok		3.0.0	2026-04-23	3.0.0	False	False	10
amulety	bioconda	ok		2.1.3	2026-05-17	2.1.3	False	False	7
angsd	bioconda	ok		0.940	2024-12-16	0.940	False	False	9
anndata	bioconda (also in conda-forge: ok)	ok		0.6.22.post1	2019-07-12	0.6.22.post1	False	False	18
annotsv	bioconda	ok		3.5.9	2026-06-02	3.5.10	True	True	20
antismash	bioconda	ok		8.0.4	2026-03-16	8.0.4	False	False	15
any2fasta	bioconda	ok		0.8.1	2025-12-30	0.8.1	False	False	4
argnorm	bioconda	ok		1.1.0	2025-06-24	1.1.0	False	False	9
arriba	bioconda	ok		2.5.1	2025-08-21	2.5.1	False	False	11
art	bioconda	ok		2016.06.05	2024-12-13	2016.06.05	False	False	3
artic	bioconda	ok		1.11.2	2026-08-26	1.11.2	False	False	44
ascat	bioconda	ok		3.2.0	2024-12-19	3.2.0	False	False	6
ashlar	bioconda	ok		1.20.0	2026-04-25	1.20.0	False	False	5
ataqv	bioconda	ok		1.3.1	2024-12-16	1.3.1	False	False	5
atlas	bioconda	ok		2.0.4	2026-08-22	2.0.4	False	False	6
autocycler	bioconda	ok		0.7.0	2026-08-12	0.7.0	False	False	10
bacphlip	bioconda	ok		0.9.6	2020-07-28	0.9.6	False	False	1
bamaligncleaner	bioconda	ok		0.3	2025-02-28	0.3	False	False	3
bamclipper	bioconda	ok		1.0.0	2021-03-26	1.0.0	False	False	1
bamcmp	bioconda	ok		2.2	2025-10-14	2.2	False	False	1
bamtools	bioconda	ok		2.5.3	2025-05-18	2.5.3	False	False	6
bamutil	bioconda	ok		1.0.15	2025-09-16	1.0.15	False	False	2
bandage	bioconda	ok		0.9.0	2025-02-26	0.9.0	False	False	2
barrnap	bioconda	ok		1.10.6	2026-04-20	1.10.6	False	False	7
bbmap	bioconda	ok		40.02	2026-08-06	40.02	False	False	86
bcftools	bioconda	ok		1.24	2026-08-06	1.24	False	False	29
beagle	bioconda	ok		5.5_27Feb25.75f	2025-09-18	5.4_22Jul22.46e	True	False	9
bedops	bioconda	ok		2.4.42	2025-08-05	2.4.42	False	False	21
bedtools	bioconda	ok		2.31.1	2024-12-13	2.31.1	False	False	19
bftools	bioconda	ok		8.0.0	2024-11-06	8.0.0	False	False	3
