pipeline	module	ref	class	arch
taxprofiler	adapterremoval	biocontainers/adapterremoval:2.3.2--hb7ba0dd_0	biocontainers	amd64-only
taxprofiler	bbmap/bbduk	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	wave-mulled	amd64-only
taxprofiler	bowtie2/align	community.wave.seqera.io/library/bowtie2_htslib_samtools_pigz:edeb13799090a2a6	wave-mulled	amd64-only
taxprofiler	bowtie2/build	community.wave.seqera.io/library/bowtie2_htslib_samtools_pigz:edeb13799090a2a6	wave-mulled	amd64-only
taxprofiler	bracken/bracken	community.wave.seqera.io/library/bracken:3.1--22a4e66ce04c5e01	wave-plain	amd64-only
taxprofiler	bracken/combinebrackenoutputs	community.wave.seqera.io/library/bracken:3.1--22a4e66ce04c5e01	wave-plain	amd64-only
taxprofiler	cat/fastq	community.wave.seqera.io/library/coreutils_grep_gzip_lbzip2_pruned:838ba80435a629f8	wave-mulled	amd64-only
taxprofiler	centrifuge/centrifuge	biocontainers/centrifuge:1.0.4.2--hdcf5f25_0	biocontainers	amd64-only
taxprofiler	centrifuge/kreport	biocontainers/centrifuge:1.0.4.2--hdcf5f25_0	biocontainers	amd64-only
taxprofiler	diamond/blastx	biocontainers/diamond:2.1.12--hdb4b4cc_1	biocontainers	amd64-only
taxprofiler	falco	biocontainers/falco:1.2.1--h867801b_3	biocontainers	amd64-only
taxprofiler	fastp	community.wave.seqera.io/library/fastp:0.24.0--62c97b06e8447690	wave-plain	amd64-only
taxprofiler	fastqc	biocontainers/fastqc:0.12.1--hdfd78af_0	biocontainers	amd64-only
taxprofiler	filtlong	biocontainers/filtlong:0.2.1--h9a82719_0	biocontainers	amd64-only
taxprofiler	ganon/classify	biocontainers/ganon:2.1.0--py310hab1bfa5_1	biocontainers	amd64-only
taxprofiler	ganon/report	biocontainers/ganon:2.1.0--py310hab1bfa5_1	biocontainers	amd64-only
taxprofiler	ganon/table	biocontainers/ganon:2.1.0--py310hab1bfa5_1	biocontainers	amd64-only
taxprofiler	gunzip	community.wave.seqera.io/library/coreutils_grep_gzip_lbzip2_pruned:838ba80435a629f8	wave-mulled	amd64-only
taxprofiler	kaiju/kaiju	biocontainers/kaiju:1.10.0--h43eeafb_0	biocontainers	amd64-only
taxprofiler	kaiju/kaiju2krona	biocontainers/kaiju:1.10.0--h43eeafb_0	biocontainers	amd64-only
taxprofiler	kaiju/kaiju2table	biocontainers/kaiju:1.10.0--h43eeafb_0	biocontainers	amd64-only
taxprofiler	kmcp/profile	biocontainers/kmcp:0.9.4--h9ee0642_0	biocontainers	amd64-only
taxprofiler	kmcp/search	biocontainers/kmcp:0.9.4--h9ee0642_0	biocontainers	amd64-only
taxprofiler	kraken2/kraken2	community.wave.seqera.io/library/kraken2_coreutils_pigz:45764814c4bb5bf3	wave-mulled	amd64-only
taxprofiler	krakentools/combinekreports	biocontainers/krakentools:1.2--pyh5e36f6f_0	biocontainers	amd64-only
taxprofiler	krakentools/kreport2krona	biocontainers/krakentools:1.2--pyh5e36f6f_0	biocontainers	amd64-only
taxprofiler	krakenuniq/preloadedkrakenuniq	biocontainers/krakenuniq:1.0.4--pl5321h6dccd9a_2	biocontainers	amd64-only
taxprofiler	krona/ktimporttaxonomy	biocontainers/krona:2.8.1--pl5321hdfd78af_1	biocontainers	amd64-only
taxprofiler	krona/ktimporttext	biocontainers/krona:2.8.1--pl5321hdfd78af_1	biocontainers	amd64-only
taxprofiler	malt/run	biocontainers/malt:0.61--hdfd78af_0	biocontainers	amd64-only
taxprofiler	megan/rma2info	biocontainers/megan:6.25.9--h9ee0642_0	biocontainers	amd64-only
taxprofiler	melon	biocontainers/melon:0.2.5--pyhdfd78af_0	biocontainers	amd64-only
taxprofiler	metacache/query	biocontainers/metacache:2.5.0--h077b44d_0	biocontainers	amd64-only
taxprofiler	metaphlan/mergemetaphlantables	biocontainers/metaphlan:4.1.1--pyhdfd78af_0	biocontainers	amd64-only
taxprofiler	metaphlan/metaphlan	biocontainers/metaphlan:4.1.1--pyhdfd78af_0	biocontainers	amd64-only
taxprofiler	minimap2/align	community.wave.seqera.io/library/minimap2_samtools:33bb43c18d22e29c	wave-mulled	amd64-only
taxprofiler	minimap2/index	biocontainers/minimap2:2.29--h577a1d6_0	biocontainers	amd64-only
taxprofiler	motus/merge	biocontainers/motus:3.1.0--pyhdfd78af_0	biocontainers	amd64-only
taxprofiler	motus/preplong	biocontainers/motus:3.1.0--pyhdfd78af_0	biocontainers	amd64-only
taxprofiler	motus/profile	biocontainers/motus:3.1.0--pyhdfd78af_0	biocontainers	amd64-only
taxprofiler	multiqc	community.wave.seqera.io/library/multiqc:1.32--d58f60e4deb769bf	wave-plain	amd64-only
taxprofiler	nanoq	biocontainers/nanoq:0.10.0--h031d066_2	biocontainers	amd64-only
taxprofiler	nonpareil/curve	biocontainers/nonpareil:3.5.5--r43hdcf5f25_0	biocontainers	amd64-only
taxprofiler	nonpareil/nonpareil	biocontainers/nonpareil:3.5.5--r43hdcf5f25_0	biocontainers	amd64-only
taxprofiler	nonpareil/nonpareilcurvesr	biocontainers/nonpareil:3.5.5--r43hdcf5f25_0	biocontainers	amd64-only
taxprofiler	nonpareil/set	biocontainers/nonpareil:3.5.5--r43hdcf5f25_0	biocontainers	amd64-only
taxprofiler	porechop/abi	biocontainers/porechop_abi:0.5.0--py310h590eda1_0	biocontainers	amd64-only
taxprofiler	porechop/porechop	community.wave.seqera.io/library/porechop_pigz:d1655e5b5bad786c	wave-mulled	amd64-only
taxprofiler	prinseqplusplus	biocontainers/prinseq-plus-plus:1.2.3--hc90279e_1	biocontainers	amd64-only
taxprofiler	samtools/fastq	biocontainers/samtools:1.22.1--h96c455f_0	biocontainers	amd64-only
taxprofiler	samtools/index	biocontainers/samtools:1.22.1--h96c455f_0	biocontainers	amd64-only
taxprofiler	samtools/stats	biocontainers/samtools:1.22.1--h96c455f_0	biocontainers	amd64-only
taxprofiler	samtools/view	biocontainers/samtools:1.22.1--h96c455f_0	biocontainers	amd64-only
taxprofiler	sylph/profile	biocontainers/sylph:0.7.0--h919a2d8_0	biocontainers	amd64-only
taxprofiler	sylphtax/merge	biocontainers/sylph-tax:1.2.0--pyhdfd78af_0	biocontainers	amd64-only
taxprofiler	sylphtax/taxprof	biocontainers/sylph-tax:1.2.0--pyhdfd78af_0	biocontainers	amd64-only
taxprofiler	taxpasta/merge	biocontainers/taxpasta:0.7.0--pyhdfd78af_1	biocontainers	amd64-only
taxprofiler	taxpasta/standardise	biocontainers/taxpasta:0.7.0--pyhdfd78af_1	biocontainers	amd64-only
taxprofiler	untar	community.wave.seqera.io/library/coreutils_grep_gzip_lbzip2_pruned:838ba80435a629f8	wave-mulled	amd64-only
sarek	ascat	community.wave.seqera.io/library/ascat_cancerit-allelecount:c3e8749fa4af0e99	wave-mulled	amd64-only
sarek	bbmap/bbsplit	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	wave-mulled	amd64-only
sarek	bcftools/annotate	community.wave.seqera.io/library/bcftools:1.21--4335bec1d7b44d11	wave-plain	amd64-only
sarek	bcftools/concat	community.wave.seqera.io/library/bcftools:1.21--4335bec1d7b44d11	wave-plain	amd64-only
sarek	bcftools/isec	community.wave.seqera.io/library/bcftools_htslib:0a3fa2654b52006f	wave-mulled	amd64-only
sarek	bcftools/merge	community.wave.seqera.io/library/bcftools_htslib:0a3fa2654b52006f	wave-mulled	amd64-only
sarek	bcftools/mpileup	community.wave.seqera.io/library/bcftools:1.21--4335bec1d7b44d11	wave-plain	amd64-only
sarek	bcftools/norm	community.wave.seqera.io/library/bcftools:1.21--4335bec1d7b44d11	wave-plain	amd64-only
sarek	bcftools/sort	community.wave.seqera.io/library/bcftools:1.21--4335bec1d7b44d11	wave-plain	amd64-only
sarek	bcftools/stats	community.wave.seqera.io/library/bcftools:1.21--4335bec1d7b44d11	wave-plain	amd64-only
sarek	bcftools/view	community.wave.seqera.io/library/bcftools_htslib:0a3fa2654b52006f	wave-mulled	amd64-only
sarek	bwa/index	community.wave.seqera.io/library/bwa_htslib_samtools:56c9f8d5201889a4	wave-mulled	amd64-only
sarek	bwa/mem	community.wave.seqera.io/library/bwa_htslib_samtools:56c9f8d5201889a4	wave-mulled	amd64-only
sarek	bwamem2/index	community.wave.seqera.io/library/bwa-mem2_htslib_samtools:e1f420694f8e42bd	wave-mulled	amd64-only
