abacas	1.3.1--pl5321hdfd78af_3	FAIL	rc=3; [smoke] FAIL — could not demonstrate abacas works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
abyss	2.3.10--h64bf0ea_3	FAIL	rc=3; [smoke] FAIL — could not demonstrate abyss works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
adapterremoval	2.3.3--pl5321hf9a8d21_3	FAIL	rc=3; [smoke] FAIL — could not demonstrate adapterremoval works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
adapterremovalfixprefix	0.0.5--hdfd78af_2	FAIL	rc=3; [smoke] FAIL — could not demonstrate adapterremovalfixprefix works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
anndata	0.6.22.post1--py_0	FAIL	rc=3; [smoke] FAIL — anndata installs python modules that do not import on linux/arm64: | ModuleNotFoundError: No module named 'pandas.core.index' | active python: Python 3.14.5 | site-packages: /opt/conda/lib/python3.14/site-packages
annotsv	3.5.10--hdfd78af_0	FAIL	rc=3; [smoke] FAIL — could not demonstrate annotsv works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
art	2016.06.05--h63f49d7_13	FAIL	rc=3; [smoke] FAIL — could not demonstrate art works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
ascat	3.2.0--r44hdfd78af_1	FAIL	rc=3; [smoke] FAIL — could not demonstrate ascat works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
bamclipper	1.0.0--hdfd78af_2	FAIL	rc=3; [smoke] FAIL — could not demonstrate bamclipper works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
bamutil	1.0.15--h0aa3852_7	FAIL	rc=3; [smoke] FAIL — could not demonstrate bamutil works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
bandage	0.9.0--h163da20_0	FAIL	rc=3; [smoke] FAIL — could not demonstrate bandage works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
bbmap	39.81--heff9fa3_1	FAIL	rc=3; [smoke] FAIL — could not demonstrate bbmap works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
bftools	8.0.0--hdfd78af_0	FAIL	rc=3; [smoke] FAIL — could not demonstrate bftools works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
biobambam	2.0.185--h9ca79bb_0	FAIL	rc=3; [smoke] FAIL — could not demonstrate biobambam works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
bioconductor-dada2	1.38.0--r45h663ae34_0	FAIL	rc=3; [smoke] FAIL — could not demonstrate bioconductor-dada2 works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
bioconductor-deseq2	1.50.2--r45h663ae34_0	FAIL	rc=3; [smoke] FAIL — could not demonstrate bioconductor-deseq2 works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
bioconductor-edger	4.8.2--r45h3c8180c_1	FAIL	rc=3; [smoke] FAIL — could not demonstrate bioconductor-edger works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
bioconductor-limma	3.66.0--r45hbd662d2_0	FAIL	rc=3; [smoke] FAIL — could not demonstrate bioconductor-limma works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
bioconductor-summarizedexperiment	1.32.0--r43hdfd78af_0	FAIL	rc=3; [smoke] FAIL — could not demonstrate bioconductor-summarizedexperiment works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
bioconductor-tximeta	1.20.1--r43hdfd78af_0	FAIL	rc=3; [smoke] FAIL — could not demonstrate bioconductor-tximeta works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
blast	2.16.0--h6a93c2d_5	FAIL	rc=3; [smoke] FAIL — could not demonstrate blast works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
circularmapper	1.93.5--h2a3209d_3	FAIL	rc=3; [smoke] FAIL — could not demonstrate circularmapper works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
clair3	2.0.1--py311hd08e9f5_0	FAIL	rc=3; [smoke] FAIL — could not demonstrate clair3 works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
clonalframeml	1.20--h1b9dc22_0	FAIL	rc=3; [smoke] FAIL — could not demonstrate clonalframeml works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
control-freec	11.6b--hdc89528_3	FAIL	rc=3; [smoke] FAIL — could not demonstrate control-freec works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
das_tool	1.1.7--r44hdfd78af_1	FAIL	rc=3; [smoke] FAIL — could not demonstrate das_tool works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
decoupler	1.5.0--pyhdfd78af_0	FAIL	rc=3; [smoke] FAIL — decoupler installs python modules that do not import on linux/arm64: | ModuleNotFoundError: No module named 'pandas.core.index' | active python: Python 3.9.23 | site-packages: /opt/conda/lib/python3.9/site-packages
dragmap	1.3.0--h0aa3852_7	FAIL	rc=3; [smoke] FAIL — could not demonstrate dragmap works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
eigenstratdatabasetools	1.1.0--hdfd78af_0	FAIL	rc=3; [smoke] FAIL — could not demonstrate eigenstratdatabasetools works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
eklipse	1.8--hdfd78af_6	FAIL	rc=3; [smoke] FAIL — could not demonstrate eklipse works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
emboss	6.6.0--h4b5f196_14	FAIL	rc=3; [smoke] FAIL — could not demonstrate emboss works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
ensembl-vep	116.2--pl5321h2a3209d_0	FAIL	rc=3; [smoke] FAIL — could not demonstrate ensembl-vep works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
evigene	23.7.15--hdfd78af_1	FAIL	rc=3; [smoke] FAIL — could not demonstrate evigene works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
expansionhunter	5.0.0--he8b94f4_5	FAIL	rc=3; [smoke] FAIL — could not demonstrate expansionhunter works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
expansionhunterdenovo	0.9.0--hece5f1d_11	FAIL	rc=3; [smoke] FAIL — could not demonstrate expansionhunterdenovo works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
faqcs	2.12--r44h1e84f2d_0	FAIL	rc=3; [smoke] FAIL — could not demonstrate faqcs works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
fastani	1.34--h07fb39f_7	FAIL	rc=3; [smoke] FAIL — could not demonstrate fastani works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
fastk	1.2--h1743689_1	FAIL	rc=3; [smoke] FAIL — could not demonstrate fastk works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
gangstr	2.5.0--h5756de4_10	FAIL	rc=3; [smoke] FAIL — could not demonstrate gangstr works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
gatk	3.8--hdfd78af_12	FAIL	rc=3; [smoke] FAIL — could not demonstrate gatk works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
gatk4	4.6.2.0--py310hdfd78af_1	FAIL	rc=3; [smoke] FAIL — could not demonstrate gatk4 works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
gatk4-spark	4.6.1.0--hdfd78af_0	FAIL	rc=3; [smoke] FAIL — could not demonstrate gatk4-spark works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
glnexus	1.4.1--h83404e3_5	FAIL	rc=3; [smoke] FAIL — could not demonstrate glnexus works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
gzrt	0.9.1--h0cbc5ad_1	FAIL	rc=3; [smoke] FAIL — could not demonstrate gzrt works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
helitronscanner	1.0--hdfd78af_0	FAIL	rc=3; [smoke] FAIL — could not demonstrate helitronscanner works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
hhsuite	3.3.0--h80f0ee0_15	FAIL	rc=3; [smoke] FAIL — could not demonstrate hhsuite works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
hmmcopy	0.1.1--hdab5457_12	FAIL	rc=3; [smoke] FAIL — could not demonstrate hmmcopy works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
hmmer	3.4--hfe13ca0_4	FAIL	rc=3; [smoke] FAIL — could not demonstrate hmmer works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
htslib	1.23.1--h58d2225_0	FAIL	rc=3; [smoke] FAIL — could not demonstrate htslib works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
infernal	1.1.5--pl5321h661a7b0_4	FAIL	rc=3; [smoke] FAIL — could not demonstrate infernal works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
jasminesv	1.1.5--hdfd78af_0	FAIL	rc=3; [smoke] FAIL — could not demonstrate jasminesv works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
juicertools	2.20.00--hdfd78af_0	FAIL	rc=3; [smoke] FAIL — could not demonstrate juicertools works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
knotannotsv	1.1.5--hdfd78af_0	FAIL	rc=3; [smoke] FAIL — could not demonstrate knotannotsv works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
kofamscan	1.3.0--hdfd78af_2	FAIL	rc=3; [smoke] FAIL — could not demonstrate kofamscan works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
krakentools	1.2.1--pyh7e72e81_0	FAIL	rc=3; [smoke] FAIL — could not demonstrate krakentools works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
krona	2.8.1--pl5321hdfd78af_1	FAIL	rc=3; [smoke] FAIL — could not demonstrate krona works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
