tool	latest	subdirs	bucket
abacas	1.3.1	noarch	noarch
abra2	2.24	linux-64,linux-aarch64	linux-aarch64
abricate	1.4.0	linux-64,noarch,osx-64	noarch
abritamr	1.3.0	noarch	noarch
abyss	2.3.10	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
adapterremoval	2.3.4	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
adapterremovalfixprefix	0.0.5	linux-64,noarch,osx-64	noarch
admixture	1.3.0	linux-64,osx-64	linux-64-only
affy	?		missing
agat	1.7.0	noarch	noarch
agrvate	1.0.2	noarch	noarch
ale	20180904	linux-64,osx-64	linux-64-only
alignoth	1.5.1	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
allelecounter	?		missing
ampcombi	3.0.0	noarch	noarch
ampcombi2	?		missing
ampir	?		missing
amplify	2.0.1	noarch	noarch
amps	?		missing
amrfinderplus	?		missing
amulety	2.1.3	noarch	noarch
anarcii	?		missing
angsd	0.940	linux-64,linux-aarch64	linux-aarch64
anndata	0.6.22.post1	noarch	noarch
annosine	?		missing
annotsv	3.5.10	noarch	noarch
anota2seq	?		missing
antismash	8.0.4	linux-64,noarch,osx-64	noarch
any2fasta	0.8.1	linux-64,noarch,osx-64	noarch
apbs	?		missing
arcashla	?		missing
argnorm	1.1.0	noarch	noarch
aria2	1.34.0	linux-64,osx-64	linux-64-only
ariba	2.14.7	linux-64,osx-64	linux-64-only
arriba	2.5.1	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
art	2016.06.05	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
artic	1.10.2	noarch	noarch
ascat	3.2.0	linux-64,noarch,osx-64	noarch
ashlar	1.20.0	noarch	noarch
assemblyscan	?		missing
ataqv	1.3.1	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
atlas	2.0.3	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
atlasgeneannotationmanipulation	?		missing
authentict	1.0.1	linux-64,osx-64	linux-64-only
autocycler	0.6.2	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
backsub	?		missing
bacphlip	0.9.6	noarch	noarch
bakta	1.12.0	noarch	noarch
bam2fastx	3.0.0	linux-64,osx-64	linux-64-only
bamaligncleaner	0.3	noarch	noarch
bamclipper	1.0.0	linux-64,noarch,osx-64	noarch
bamcmp	2.2	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
bamreadcount	?		missing
bamstats	0.3.5	linux-64,osx-64	linux-64-only
bamtofastq10x	?		missing
bamtools	2.5.3	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
bamutil	1.0.15	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
bandage	0.9.0	linux-64,linux-aarch64,osx-64	linux-aarch64
barrnap	1.10.6	linux-64,noarch,osx-64	noarch
bases2fastq	?		missing
basicpy	?		missing
bbmap	39.81	linux-64,linux-aarch64,noarch,osx-64,osx-arm64	linux-aarch64
bcftools	1.23.1	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
bcl2fastq	?		missing
bclconvert	?		missing
beagle5	?		missing
bedgovcf	0.1.1	linux-64,osx-64	linux-64-only
bedops	2.4.42	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
bedtools	2.31.1	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
bff	?		missing
bftools	8.0.0	noarch	noarch
bigslice	2.0.2	noarch	noarch
bio2zarr	0.2.1	noarch	noarch
bioawk	1.0	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
biobambam	2.0.185	linux-64,linux-aarch64	linux-aarch64
bioformats2raw	?		missing
biohansel	?		missing
biomformat	?		missing
biscuit	1.8.1.20260511	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
bismark	0.25.1	linux-64,noarch,osx-64	noarch
blast	2.17.0	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
blat	36	linux-64,osx-64	linux-64-only
blobtk	0.8.0	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
bowtie	1.3.1	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
bowtie2	2.5.5	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
bracken	3.1p1	linux-64,linux-aarch64,noarch,osx-64	linux-aarch64
braker3	3.0.8	noarch	noarch
busco	6.1.0	linux-64,noarch,osx-64	noarch
bwa	0.7.19	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
bwafastalign	?		missing
bwamem2	?		missing
bwameme	?		missing
bwameth	0.2.9	linux-64,noarch,osx-64	noarch
caalm	1.0.0	noarch	noarch
cadd	?		missing
cafe	5.1.0	linux-64	linux-64-only
calder2	?		missing
canu	2.3	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
canvas	1.35.1.1316	linux-64	linux-64-only
carveme	1.6.6	noarch	noarch
cat	6.0.1	linux-64,noarch,osx-64	noarch
catpack	?		missing
cdhit	?		missing
celesta	?		missing
cellbender	0.3.2	noarch	noarch
cellpose	?		missing
cellranger	?		missing
cellrangerarc	?		missing
cellrangeratac	?		missing
cellsnp	?		missing
centrifuge	1.0.4.2	linux-64,linux-aarch64,osx-64	linux-aarch64
centrifuger	1.1.2	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
checkm	?		missing
checkm2	1.1.0	noarch	noarch
checkqc	4.0.7	noarch	noarch
checkv	1.1.1	noarch	noarch
chewbbaca	3.5.4	linux-64,noarch,osx-64	noarch
chopper	0.13.0	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
chromap	0.3.2	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
chromograph	1.3.1	linux-64,noarch	noarch
circexplorer2	2.3.8	linux-64,noarch,osx-64	noarch
circularmapper	1.93.5	linux-64,noarch,osx-64	noarch
civicpy	5.4.0	noarch	noarch
clair3	2.0.1	linux-64,linux-aarch64,noarch,osx-arm64	linux-aarch64
clame	1.0	linux-64,linux-aarch64	linux-aarch64
clipkit	2.12.0	noarch	noarch
clippy	1.5.0	noarch	noarch
clonalframeml	1.20	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
clustalo	1.2.4	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
clusty	1.2.2	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
cmaple	1.1.0	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
cmseq	1.0.4	noarch	noarch
cnaqc	?		missing
cnvkit	0.9.13	linux-64,noarch,osx-64	noarch
cnvnator	0.4.1	linux-64,linux-aarch64	linux-aarch64
cnvpytor	1.3.2	linux-64,noarch,osx-64	noarch
cobiontid	?		missing
cobrameta	?		missing
cobs	0.3.1	linux-64,linux-aarch64,osx-64	linux-aarch64
comebin	1.0.4	noarch	noarch
comet	?		missing
concoct	1.1.0	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
conifer	1.0.3	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
controlfreec	?		missing
cooler	0.10.4	linux-64,noarch,osx-64	noarch
cooltools	0.7.1	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
coptr	1.1.4	noarch	noarch
coreograph	?		missing
coverm	0.7.0	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
cowpy	?		missing
crabs	1.14.0	noarch	noarch
crabz	?		missing
cramino	1.3.0	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
crisprcleanr	?		missing
crispresso2	2.3.4	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
crumble	0.9.1	linux-64,osx-64	linux-64-only
csvtk	0.31.0	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
ctatsplicing	?		missing
ctree	?		missing
custom	?		missing
cutadapt	5.2	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
cutesv	2.1.3	noarch	noarch
damageprofiler	1.1	linux-64,noarch,osx-64	noarch
dastool	?		missing
datavzrd	?		missing
deacon	0.15.0	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
decoupler	1.5.0	noarch	noarch
dedup	0.12.9	linux-64,noarch,osx-64	noarch
deeparg	1.0.4	noarch	noarch
deepbgc	0.1.31	noarch	noarch
deepcell	?		missing
deepsomatic	?		missing
deeptmhmm	?		missing
deeptools	3.5.6	linux-64,noarch,osx-64	noarch
deepvariant	1.10.0	linux-64,noarch	noarch
delly	2.0.0	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
demuxem	0.1.8	noarch	noarch
deseq2	?		missing
diamond	2.2.1	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
diann	?		missing
disambiguate	?		missing
doubletdetection	4.3.0.post1	noarch	noarch
dragen	?		missing
dragmap	1.3.0	linux-64,linux-aarch64	linux-aarch64
dragonflye	1.2.1	noarch	noarch
drep	3.6.2	linux-64,noarch,osx-64	noarch
dshbio	?		missing
dssp	?		missing
duphold	0.2.1	linux-64	linux-64-only
dupradar	?		missing
dysgu	1.8.8	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
ea-utils	1.1.2.779	linux-64	linux-64-only
eagle2	2.4.1	linux-64,osx-64	linux-64-only
eautils	?		missing
ectyper	2.0.0	linux-64,noarch,osx-64	noarch
eggnogmapper	?		missing
eido	?		missing
eigenstratdatabasetools	1.1.0	noarch	noarch
eklipse	1.8	noarch	noarch
elprep	5.1.3	linux-64,linux-aarch64,noarch,osx-64,osx-arm64	linux-aarch64
emboss	6.6.0	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
emmtyper	0.2.0	noarch	noarch
emu	3.6.2	noarch	noarch
endorspy	1.4	noarch	noarch
ensemblvep	?		missing
entrezdirect	?		missing
epang	?		missing
epic2	0.0.54	linux-64,linux-aarch64	linux-aarch64
estsfs	?		missing
evigene	23.7.15	noarch	noarch
expansionhunter	5.0.0	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
