tool	latest	subdirs	bucket
bwa	0.7.19	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
bowtie2	2.5.5	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
samtools	1.23.1	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
bcftools	1.23.1	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
minimap2	2.31	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
star	2.7.11b	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
hisat2	2.2.2	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
salmon	1.11.4	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
kallisto	0.52.0	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
fastqc	0.12.1	linux-64,noarch,osx-64	noarch
fastp	1.3.3	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
multiqc	1.35	linux-64,noarch,osx-64	noarch
kraken2	2.17.1	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
metaphlan	4.2.4	noarch	noarch
bracken	3.1p1	linux-64,linux-aarch64,noarch,osx-64	linux-aarch64
seqkit	2.13.0	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
gatk4	4.6.2.0	linux-64,noarch,osx-64	noarch
picard	3.4.0	linux-64,noarch,osx-64	noarch
bedtools	2.31.1	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
spades	4.2.0	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
trimmomatic	0.40	linux-64,noarch,osx-64	noarch
cutadapt	5.2	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
diamond	2.2.1	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
blast	2.17.0	linux-64,linux-aarch64,osx-64,osx-arm64	linux-aarch64
