tool	pinned	kind	arm64_versions
adapterremoval	2.3.2	version-pin	2.3.3 .. 2.3.4
ale	20180904	never-arm64	
chopper	0.9.0	version-pin	0.9.1 .. 0.13.0
comebin	1.0.4	dep-gap	1.0.2 .. 1.0.4
dragmap	1.2.1	version-pin	1.3.0
falco	1.2.1	version-pin	1.2.3 .. 1.3.1
goleft	0.2.4	version-pin	0.2.6
kaiju	1.10.0	version-pin	1.10.1
megan	6.25.9	version-pin	6.25.10
metabat2	2.15	version-pin	2.17 .. 2.18_23_gc869c52
motus	3.1.0	dep-gap	2.0.1 .. 4.0.4
msisensor2	0.1	never-arm64	
mulled-v2-2e442ba7b07bfa102b9cf8fac6221263cd746ab8	57f05cfa73f769d6ed6d54144cb3aa2a6a6b17e0-0	never-arm64	
mulled-v2-375a758a4ca8c128fb9d38047a68a9f4322d2acd	b3615e06ef17566f2988a215ce9e10808c1d08bf-0	never-arm64	
mulled-v2-580d344d9d4a496cd403932da8765f9e0187774d	df80ed8d23d0a2c43181a2b3dd1b39f2d00fab5c-0	never-arm64	
mulled-v2-780d630a9bb6a0ff2e7b6f730906fd703e40e98f	c94363856059151a2974dc501fb07a0360cc60a3-0	never-arm64	
pigz	2.3.4	never-arm64	
prinseq-plus-plus	1.2.3	version-pin	1.2.4
pycoqc	2.5.2	dep-gap	2.2.3 .. 2.5.2
tiara	1.0.3	never-arm64	
